id,name,supertype,subtypes,hp,types,rarity,artist,attacks_count,attacks_damage,converted_retreat_cost,set_id,set_name,series,release_date,set_total
base1-68,Vulpix,Pokémon,Basic,50,Fire,Common,Ken Sugimori,1,10,1.0,base1,Base,Base,1999/01/09,102
base1-69,Weedle,Pokémon,Basic,40,Grass,Common,Mitsuhiro Arita,1,10,1.0,base1,Base,Base,1999/01/09,102
base1-70,Clefairy Doll,Trainer,,10,,Rare,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-71,Computer Search,Trainer,,,,Rare,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-72,Devolution Spray,Trainer,,,,Rare,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-73,Impostor Professor Oak,Trainer,,,,Rare,Ken Sugimori,0,,,base1,Base,Base,1999/01/09,102
base1-74,Item Finder,Trainer,,,,Rare,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-75,Lass,Trainer,,,,Rare,Ken Sugimori,0,,,base1,Base,Base,1999/01/09,102
base1-76,Pokémon Breeder,Trainer,,,,Rare,Ken Sugimori,0,,,base1,Base,Base,1999/01/09,102
base1-77,Pokémon Trader,Trainer,,,,Rare,Ken Sugimori,0,,,base1,Base,Base,1999/01/09,102
base1-78,Scoop Up,Trainer,,,,Rare,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-79,Super Energy Removal,Trainer,,,,Rare,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-80,Defender,Trainer,,,,Uncommon,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-81,Energy Retrieval,Trainer,,,,Uncommon,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-82,Full Heal,Trainer,,,,Uncommon,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-83,Maintenance,Trainer,,,,Uncommon,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-84,PlusPower,Trainer,,,,Uncommon,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-85,Pokémon Center,Trainer,,,,Uncommon,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-86,Pokémon Flute,Trainer,,,,Uncommon,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-87,Pokédex,Trainer,,,,Uncommon,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-88,Professor Oak,Trainer,,,,Uncommon,Ken Sugimori,0,,,base1,Base,Base,1999/01/09,102
base1-89,Revive,Trainer,,,,Uncommon,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-90,Super Potion,Trainer,,,,Uncommon,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-91,Bill,Trainer,,,,Common,Ken Sugimori,0,,,base1,Base,Base,1999/01/09,102
base1-92,Energy Removal,Trainer,,,,Common,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-93,Gust of Wind,Trainer,,,,Common,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-94,Potion,Trainer,,,,Common,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-95,Switch,Trainer,,,,Common,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-96,Double Colorless Energy,Energy,Special,,,Uncommon,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-97,Fighting Energy,Energy,Basic,,,,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-98,Fire Energy,Energy,Basic,,,,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-99,Grass Energy,Energy,Basic,,,,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-100,Lightning Energy,Energy,Basic,,,,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-101,Psychic Energy,Energy,Basic,,,,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base1-102,Water Energy,Energy,Basic,,,,Keiji Kinebuchi,0,,,base1,Base,Base,1999/01/09,102
base2-1,Clefable,Pokémon,Stage 1,70,Colorless,Rare Holo,Mitsuhiro Arita,2,|,2.0,base2,Jungle,Base,1999/06/16,64
base2-2,Electrode,Pokémon,Stage 1,90,Lightning,Rare Holo,Mitsuhiro Arita,2,20|20,1.0,base2,Jungle,Base,1999/06/16,64
base2-3,Flareon,Pokémon,Stage 1,70,Fire,Rare Holo,Kagemaru Himeno,2,10+|60,1.0,base2,Jungle,Base,1999/06/16,64
base2-4,Jolteon,Pokémon,Stage 1,70,Lightning,Rare Holo,Kagemaru Himeno,2,10+|20×,1.0,base2,Jungle,Base,1999/06/16,64
base2-5,Kangaskhan,Pokémon,Basic,90,Colorless,Rare Holo,Mitsuhiro Arita,2,|20×,3.0,base2,Jungle,Base,1999/06/16,64
base2-6,Mr. Mime,Pokémon,Basic,40,Psychic,Rare Holo,Ken Sugimori,1,10+,1.0,base2,Jungle,Base,1999/06/16,64
base2-7,Nidoqueen,Pokémon,Stage 2,90,Grass,Rare Holo,Ken Sugimori,2,20+|50,3.0,base2,Jungle,Base,1999/06/16,64
base2-8,Pidgeot,Pokémon,Stage 2,80,Colorless,Rare Holo,Kagemaru Himeno,2,20|30,,base2,Jungle,Base,1999/06/16,64
base2-9,Pinsir,Pokémon,Basic,60,Grass,Rare Holo,Kagemaru Himeno,2,20|50,1.0,base2,Jungle,Base,1999/06/16,64
base2-10,Scyther,Pokémon,Basic,70,Grass,Rare Holo,Ken Sugimori,2,|30,,base2,Jungle,Base,1999/06/16,64
base2-11,Snorlax,Pokémon,Basic,90,Colorless,Rare Holo,Ken Sugimori,1,30,4.0,base2,Jungle,Base,1999/06/16,64
base2-12,Vaporeon,Pokémon,Stage 1,80,Water,Rare Holo,Kagemaru Himeno,2,10+|30+,1.0,base2,Jungle,Base,1999/06/16,64
base2-13,Venomoth,Pokémon,Stage 1,70,Grass,Rare Holo,Ken Sugimori,1,10,,base2,Jungle,Base,1999/06/16,64
base2-14,Victreebel,Pokémon,Stage 2,80,Grass,Rare Holo,Ken Sugimori,2,|20,2.0,base2,Jungle,Base,1999/06/16,64
base2-15,Vileplume,Pokémon,Stage 2,80,Grass,Rare Holo,Keiji Kinebuchi,1,40×,2.0,base2,Jungle,Base,1999/06/16,64
base2-16,Wigglytuff,Pokémon,Stage 1,80,Colorless,Rare Holo,Mitsuhiro Arita,2,|10+,2.0,base2,Jungle,Base,1999/06/16,64
base2-17,Clefable,Pokémon,Stage 1,70,Colorless,Rare,Mitsuhiro Arita,2,|,2.0,base2,Jungle,Base,1999/06/16,64
base2-18,Electrode,Pokémon,Stage 1,90,Lightning,Rare,Mitsuhiro Arita,2,20|20,1.0,base2,Jungle,Base,1999/06/16,64
base2-19,Flareon,Pokémon,Stage 1,70,Fire,Rare,Kagemaru Himeno,2,10+|60,1.0,base2,Jungle,Base,1999/06/16,64
base2-20,Jolteon,Pokémon,Stage 1,70,Lightning,Rare,Kagemaru Himeno,2,10+|20×,1.0,base2,Jungle,Base,1999/06/16,64
base2-21,Kangaskhan,Pokémon,Basic,90,Colorless,Rare,Mitsuhiro Arita,2,|20×,3.0,base2,Jungle,Base,1999/06/16,64
base2-22,Mr. Mime,Pokémon,Basic,40,Psychic,Rare,Ken Sugimori,1,10+,1.0,base2,Jungle,Base,1999/06/16,64
base2-23,Nidoqueen,Pokémon,Stage 2,90,Grass,Rare,Ken Sugimori,2,20+|50,3.0,base2,Jungle,Base,1999/06/16,64
base2-24,Pidgeot,Pokémon,Stage 2,80,Colorless,Rare,Kagemaru Himeno,2,20|30,,base2,Jungle,Base,1999/06/16,64
base2-25,Pinsir,Pokémon,Basic,60,Grass,Rare,Kagemaru Himeno,2,20|50,1.0,base2,Jungle,Base,1999/06/16,64
base2-26,Scyther,Pokémon,Basic,70,Grass,Rare,Ken Sugimori,2,|30,,base2,Jungle,Base,1999/06/16,64
base2-27,Snorlax,Pokémon,Basic,90,Colorless,Rare,Ken Sugimori,1,30,4.0,base2,Jungle,Base,1999/06/16,64
base2-28,Vaporeon,Pokémon,Stage 1,80,Water,Rare,Kagemaru Himeno,2,10+|30+,1.0,base2,Jungle,Base,1999/06/16,64
base2-29,Venomoth,Pokémon,Stage 1,70,Grass,Rare,Ken Sugimori,1,10,,base2,Jungle,Base,1999/06/16,64
base2-30,Victreebel,Pokémon,Stage 2,80,Grass,Rare,Ken Sugimori,2,|20,2.0,base2,Jungle,Base,1999/06/16,64
base2-31,Vileplume,Pokémon,Stage 2,80,Grass,Rare,Keiji Kinebuchi,1,40×,2.0,base2,Jungle,Base,1999/06/16,64
base2-32,Wigglytuff,Pokémon,Stage 1,80,Colorless,Rare,Mitsuhiro Arita,2,|10+,2.0,base2,Jungle,Base,1999/06/16,64
base2-33,Butterfree,Pokémon,Stage 2,70,Grass,Uncommon,Kagemaru Himeno,2,20|40,,base2,Jungle,Base,1999/06/16,64
base2-34,Dodrio,Pokémon,Stage 1,70,Colorless,Uncommon,Mitsuhiro Arita,1,10+,,base2,Jungle,Base,1999/06/16,64
base2-35,Exeggutor,Pokémon,Stage 1,80,Grass,Uncommon,Kagemaru Himeno,2,|20×,3.0,base2,Jungle,Base,1999/06/16,64
base2-36,Fearow,Pokémon,Stage 1,70,Colorless,Uncommon,Mitsuhiro Arita,2,20|40,,base2,Jungle,Base,1999/06/16,64
base2-37,Gloom,Pokémon,Stage 1,60,Grass,Uncommon,Keiji Kinebuchi,2,|20,1.0,base2,Jungle,Base,1999/06/16,64
base2-38,Lickitung,Pokémon,Basic,90,Colorless,Uncommon,Mitsuhiro Arita,2,10|,3.0,base2,Jungle,Base,1999/06/16,64
base2-39,Marowak,Pokémon,Stage 1,60,Fighting,Uncommon,Mitsuhiro Arita,2,30×|,1.0,base2,Jungle,Base,1999/06/16,64
base2-40,Nidorina,Pokémon,Stage 1,70,Grass,Uncommon,Ken Sugimori,2,|30×,1.0,base2,Jungle,Base,1999/06/16,64
base2-41,Parasect,Pokémon,Stage 1,60,Grass,Uncommon,Ken Sugimori,2,|30,1.0,base2,Jungle,Base,1999/06/16,64
base2-42,Persian,Pokémon,Stage 1,70,Colorless,Uncommon,Kagemaru Himeno,2,20|30,,base2,Jungle,Base,1999/06/16,64
base2-43,Primeape,Pokémon,Stage 1,70,Fighting,Uncommon,Kagemaru Himeno,2,20×|50,1.0,base2,Jungle,Base,1999/06/16,64
base2-44,Rapidash,Pokémon,Stage 1,70,Fire,Uncommon,Mitsuhiro Arita,2,20+|30,,base2,Jungle,Base,1999/06/16,64
base2-45,Rhydon,Pokémon,Stage 1,100,Fighting,Uncommon,Kagemaru Himeno,2,30|50,3.0,base2,Jungle,Base,1999/06/16,64
base2-46,Seaking,Pokémon,Stage 1,70,Water,Uncommon,Kagemaru Himeno,2,10|30,1.0,base2,Jungle,Base,1999/06/16,64
base2-47,Tauros,Pokémon,Basic,60,Colorless,Uncommon,Kagemaru Himeno,2,20+|20+,2.0,base2,Jungle,Base,1999/06/16,64
base2-48,Weepinbell,Pokémon,Stage 1,70,Grass,Uncommon,Kagemaru Himeno,2,10|30,1.0,base2,Jungle,Base,1999/06/16,64
base2-49,Bellsprout,Pokémon,Basic,40,Grass,Common,Kagemaru Himeno,2,10|,1.0,base2,Jungle,Base,1999/06/16,64
base2-50,Cubone,Pokémon,Basic,40,Fighting,Common,Mitsuhiro Arita,2,|10+,1.0,base2,Jungle,Base,1999/06/16,64
base2-51,Eevee,Pokémon,Basic,50,Colorless,Common,Kagemaru Himeno,2,|10+,1.0,base2,Jungle,Base,1999/06/16,64
base2-52,Exeggcute,Pokémon,Basic,50,Grass,Common,Mitsuhiro Arita,2,|20,1.0,base2,Jungle,Base,1999/06/16,64
base2-53,Goldeen,Pokémon,Basic,40,Water,Common,Kagemaru Himeno,1,10,,base2,Jungle,Base,1999/06/16,64
base2-54,Jigglypuff,Pokémon,Basic,60,Colorless,Common,Kagemaru Himeno,2,|20,1.0,base2,Jungle,Base,1999/06/16,64
base2-55,Mankey,Pokémon,Basic,30,Fighting,Common,Kagemaru Himeno,1,10,,base2,Jungle,Base,1999/06/16,64
base2-56,Meowth,Pokémon,Basic,50,Colorless,Common,Mitsuhiro Arita,1,10,1.0,base2,Jungle,Base,1999/06/16,64
base2-57,Nidoran ♀,Pokémon,Basic,60,Grass,Common,Ken Sugimori,2,10×|,1.0,base2,Jungle,Base,1999/06/16,64
base2-58,Oddish,Pokémon,Basic,50,Grass,Common,Keiji Kinebuchi,2,10|,1.0,base2,Jungle,Base,1999/06/16,64
base2-59,Paras,Pokémon,Basic,40,Grass,Common,Ken Sugimori,2,20|,1.0,base2,Jungle,Base,1999/06/16,64
base2-60,Pikachu,Pokémon,Basic,50,Lightning,Common,Ken Sugimori,1,20,1.0,base2,Jungle,Base,1999/06/16,64
base2-61,Rhyhorn,Pokémon,Basic,70,Fighting,Common,Mitsuhiro Arita,2,|30,3.0,base2,Jungle,Base,1999/06/16,64
base2-62,Spearow,Pokémon,Basic,50,Colorless,Common,Mitsuhiro Arita,2,10|,,base2,Jungle,Base,1999/06/16,64
base2-63,Venonat,Pokémon,Basic,40,Grass,Common,Mitsuhiro Arita,2,10|10,1.0,base2,Jungle,Base,1999/06/16,64
base2-64,Poké Ball,Trainer,,,,Common,Keiji Kinebuchi,0,,,base2,Jungle,Base,1999/06/16,64
base3-1,Aerodactyl,Pokémon,Stage 1,60,Fighting,Rare Holo,Kagemaru Himeno,1,30,2.0,base3,Fossil,Base,1999/10/10,62
base3-2,Articuno,Pokémon,Basic,70,Water,Rare Holo,Mitsuhiro Arita,2,30|50,2.0,base3,Fossil,Base,1999/10/10,62
base3-3,Ditto,Pokémon,Basic,50,Colorless,Rare Holo,Keiji Kinebuchi,0,,1.0,base3,Fossil,Base,1999/10/10,62
base3-4,Dragonite,Pokémon,Stage 2,100,Colorless,Rare Holo,Kagemaru Himeno,1,40×,1.0,base3,Fossil,Base,1999/10/10,62
base3-5,Gengar,Pokémon,Stage 2,80,Psychic,Rare Holo,Keiji Kinebuchi,1,30,1.0,base3,Fossil,Base,1999/10/10,62
base3-6,Haunter,Pokémon,Stage 1,50,Psychic,Rare Holo,Ken Sugimori,1,10,,base3,Fossil,Base,1999/10/10,62
base3-7,Hitmonlee,Pokémon,Basic,60,Fighting,Rare Holo,Ken Sugimori,2,|50,1.0,base3,Fossil,Base,1999/10/10,62
base3-8,Hypno,Pokémon,Stage 1,90,Psychic,Rare Holo,Ken Sugimori,2,|30,2.0,base3,Fossil,Base,1999/10/10,62
base3-9,Kabutops,Pokémon,Stage 2,60,Fighting,Rare Holo,Ken Sugimori,2,30|40,1.0,base3,Fossil,Base,1999/10/10,62
base3-10,Lapras,Pokémon,Basic,80,Water,Rare Holo,Ken Sugimori,2,10+|10,2.0,base3,Fossil,Base,1999/10/10,62
base3-11,Magneton,Pokémon,Stage 1,80,Lightning,Rare Holo,Ken Sugimori,2,20|100,2.0,base3,Fossil,Base,1999/10/10,62
base3-12,Moltres,Pokémon,Basic,70,Fire,Rare Holo,Mitsuhiro Arita,2,|80,2.0,base3,Fossil,Base,1999/10/10,62
base3-13,Muk,Pokémon,Stage 1,70,Grass,Rare Holo,Mitsuhiro Arita,1,30,2.0,base3,Fossil,Base,1999/10/10,62
base3-14,Raichu,Pokémon,Stage 1,90,Lightning,Rare Holo,Mitsuhiro Arita,1,30,1.0,base3,Fossil,Base,1999/10/10,62
base3-15,Zapdos,Pokémon,Basic,80,Lightning,Rare Holo,Mitsuhiro Arita,1,40,2.0,base3,Fossil,Base,1999/10/10,62
base3-16,Aerodactyl,Pokémon,Stage 1,60,Fighting,Rare,Kagemaru Himeno,1,30,2.0,base3,Fossil,Base,1999/10/10,62
base3-17,Articuno,Pokémon,Basic,70,Water,Rare,Mitsuhiro Arita,2,30|50,2.0,base3,Fossil,Base,1999/10/10,62
base3-18,Ditto,Pokémon,Basic,50,Colorless,Rare,Keiji Kinebuchi,0,,1.0,base3,Fossil,Base,1999/10/10,62
base3-19,Dragonite,Pokémon,Stage 2,100,Colorless,Rare,Kagemaru Himeno,1,40×,1.0,base3,Fossil,Base,1999/10/10,62
base3-20,Gengar,Pokémon,Stage 2,80,Psychic,Rare,Keiji Kinebuchi,1,30,1.0,base3,Fossil,Base,1999/10/10,62
base3-21,Haunter,Pokémon,Stage 1,50,Psychic,Rare,Ken Sugimori,1,10,,base3,Fossil,Base,1999/10/10,62
base3-22,Hitmonlee,Pokémon,Basic,60,Fighting,Rare,Ken Sugimori,2,|50,1.0,base3,Fossil,Base,1999/10/10,62
base3-23,Hypno,Pokémon,Stage 1,90,Psychic,Rare,Ken Sugimori,2,|30,2.0,base3,Fossil,Base,1999/10/10,62
base3-24,Kabutops,Pokémon,Stage 2,60,Fighting,Rare,Ken Sugimori,2,30|40,1.0,base3,Fossil,Base,1999/10/10,62
base3-25,Lapras,Pokémon,Basic,80,Water,Rare,Ken Sugimori,2,10+|10,2.0,base3,Fossil,Base,1999/10/10,62
base3-26,Magneton,Pokémon,Stage 1,80,Lightning,Rare,Ken Sugimori,2,20|100,2.0,base3,Fossil,Base,1999/10/10,62
base3-27,Moltres,Pokémon,Basic,70,Fire,Rare,Mitsuhiro Arita,2,|80,2.0,base3,Fossil,Base,1999/10/10,62
base3-28,Muk,Pokémon,Stage 1,70,Grass,Rare,Mitsuhiro Arita,1,30,2.0,base3,Fossil,Base,1999/10/10,62
base3-29,Raichu,Pokémon,Stage 1,90,Lightning,Rare,Mitsuhiro Arita,1,30,1.0,base3,Fossil,Base,1999/10/10,62
base3-30,Zapdos,Pokémon,Basic,80,Lightning,Rare,Mitsuhiro Arita,1,40,2.0,base3,Fossil,Base,1999/10/10,62
base3-31,Arbok,Pokémon,Stage 1,60,Grass,Uncommon,Ken Sugimori,2,10|20,2.0,base3,Fossil,Base,1999/10/10,62
base3-32,Cloyster,Pokémon,Stage 1,50,Water,Uncommon,Kagemaru Himeno,2,30|30×,2.0,base3,Fossil,Base,1999/10/10,62
base3-33,Gastly,Pokémon,Basic,50,Psychic,Uncommon,Mitsuhiro Arita,2,10|,,base3,Fossil,Base,1999/10/10,62
